// _________                                    
// \_   ___ \_______  ____   ____  __ __  ______
// /    \  \/\_  __ \/  _ \ /    \|  |  \/  ___/
// \     \____|  | \(  <_> )   |  \  |  /\___ \ 
//  \______  /|__|   \____/|___|  /____//____  >
//         \/                   \/           \/  
//-----------------------------------------------
// Cronus - Configuração das Habilidades
//-----------------------------------------------

//id,range,hit,inf,pl,nk,max,list_num,castcancel,cast_defence_rate,inf2,maxcount,skill_type,blow_count
// 01 ID
// 02 range
// 03 hit (8- repeated hitting, 6- single-hit)
// 04 inf (0- passive, 1- enemy, 2- place, 4- self, 16- friend, 32- trap)
// 05 pl attributes (0- nothing, 1- water, 2- earth, 3- fire, 4- wind, 5- poison, 6- saint, 7- darkness, 8- sense, 9- immortality)
// 06 nk (0- normal skill, 1-no damage skill, 2-splash damage skill)
// 07 splash/effect range (-1 for screen-wide)
// 08 MaxLv
// 09 Hit frequency (number of hits skill does)
// 10 castcancelled (it is cancelled at 1. Are not cancelled with 0)
// 11 defense-reduction rate during cast.
// 12 inf2 (skill information 2) (1- quest skill,  2- npc skill, 4- wedding skill, 8- spirit skill,
//    16- guild skill, 32- song/dance, 64- ensemble skill, 128- trap (can be targetted),
//    256- skill that damages/targets yourself, 512- skill that cannot be casted on self
//    1024- usable only on party-members, 2048- usable only on guild-mates)
// 13 maxcount: max amount of skill instances to place on the ground when
//    player_land_skill_limit/monster_land_skill_limit is enabled.
// 14 attack type (none, weapon, magic, misc)
// 15 Blowcount (amount of tiles skill knockbacks)

1,0,0,0,0,0,0,9,0,no,0,0,0,none,0	//NV_BASIC#Habilidades Básicas#
224,0,0,0,0,0,0,5,0,no,0,0,0,none,0	//RG_COMPULSION#Extorquir#
225,0,0,0,0,0,0,10,0,no,0,0,0,none,0	//RG_PLAGIARISM#Plágio#
226,0,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//AM_AXEMASTERY#Perícia com Machado#
227,0,0,0,0,0,0,10,0,no,0,0,0,none,0	//AM_LEARNINGPOTION#Pesquisa de Poções#
228,0,6,4,0,0x1,0,10,0,no,0,0,0,none,0	//AM_PHARMACY#Preparar Poção#
229,9,6,2,3,0x9,0,5,1,yes,0,0,0,weapon,0	//AM_DEMONSTRATION#Fogo Grego#
230,9,6,1,0,0x48,0,5,1,yes,0,0,0,weapon,0	//AM_ACIDTERROR#Terror Ácido#
231,9,6,16,0,0x1,0,5,1,yes,0,0xC00,0,none,0	//AM_POTIONPITCHER#Arremessar Poção#
232,4,6,2,0,0x1,0,5,1,no,0,0,5,none,0	//AM_CANNIBALIZE#Criar Monstro Planta#
233,1,6,2,0,0x1,0,5,1,no,0,0,3,none,0	//AM_SPHEREMINE#Criar Esfera Marinha#
234,1,6,16,0,0x1,0,5,1,yes,0,0,0,weapon,0	//AM_CP_WEAPON#Revestir Arma#
235,1,6,16,0,0x1,0,5,1,yes,0,0,0,weapon,0	//AM_CP_SHIELD#Revestir Escudo#
236,1,6,16,0,0x1,0,5,1,yes,0,0,0,weapon,0	//AM_CP_ARMOR#Revestir Armadura#
237,1,6,16,0,0x1,0,5,1,yes,0,0,0,weapon,0	//AM_CP_HELM#Revestir Capacete#
238,0,0,0,0,0,0,1,0,no,0,0x1,0,none,0	//AM_BIOETHICS#Bioética#
//239,0,0,0,0,0,0,10,0,no,0,0,0,none,0	//AM_BIOTECHNOLOGY#Biotechnology#
//240,0,0,0,0,0,0,5,0,no,0,0,0,none,0	//AM_CREATECREATURE#Life Creation#
//241,0,0,0,0,0,0,5,0,no,0,0,0,none,0	//AM_CULTIVATION#Cultivar Planta#
//242,0,0,0,0,0,0,5,0,no,0,0,0,none,0	//AM_FLAMECONTROL#Flame Control#
243,0,0,4,0,0x1,1,1,0,no,0,0,0,none,0	//AM_CALLHOMUN#Criar Homunculus#
244,0,0,4,0,0x1,0,1,0,no,0,0,0,none,0	//AM_REST#Vaporizar#
//245,0,0,0,0,0,0,10,0,no,0,0,0,none,0	//AM_DRILLMASTER#Drillmaster#
//246,9,0,0,0,0,0,10,0,no,0,0,0,none,0	//AM_HEALHOMUN#Curar Homunculus#
247,9,6,4,0,0x1,1,5,0,no,0,0,0,none,0	//AM_RESURRECTHOMUN#Ressuscitar Homunculus#
248,0,0,0,0,0,0,10,0,no,0,0,0,none,0	//CR_TRUST#Fé#
249,0,6,4,0,0x1,0,10,1,no,0,0,0,weapon,0	//CR_AUTOGUARD#Bloqueio#
250,3,6,1,0,0,0,5,1,no,0,0,0,weapon,5:6:7:8:9	//CR_SHIELDCHARGE#Punição Divina#
251,3:5:7:9:11,6,1,0,0,0,5,1,no,0,0,0,weapon,0	//CR_SHIELDBOOMERANG#Escudo Bumerangue#
252,0,6,4,0,0,0,10,1,no,0,0,0,weapon,0	//CR_REFLECTSHIELD#Escudo Refletor#
253,-2,8,1,6,0,0,10,-2,no,0,0,0,weapon,0	//CR_HOLYCROSS#Crux Divinum#
254,5,6,4,6,0x48,0,10,1,no,33,0x100,0,magic,0	//CR_GRANDCROSS#Crux Magnun#
255,7:8:9:10:11,6,16,0,0x1,0,5,1,yes,0,0x600,0,none,0	//CR_DEVOTION#Redenção#
256,9,6,16,0,0x1,0,5,1,yes,0,0x200,0,none,0	//CR_PROVIDENCE#Divina Providência#
257,0,6,4,0,0x1,0,5,1,no,0,0,0,weapon,0	//CR_DEFENDER#Aura Sagrada#
258,0,6,4,0,0x1,0,10,1,no,0,0,0,weapon,0	//CR_SPEARQUICKEN#Rapidez com Lança#
259,0,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//MO_IRONHAND#Punhos de Ferro#
260,0,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//MO_SPIRITSRECOVERY#Meditação#
261,0,6,4,0,0x1,0,5,1,no,0,0,0,none,0	//MO_CALLSPIRITS#Invocar Esfera Espiritual#
262,9,6,16,0,0x1,0,1,1,yes,0,0,0,weapon,0	//MO_ABSORBSPIRITS#Absorver Esferas Espirituais#
263,-1,8,0,-1,0,0,10,-3,no,0,0,0,weapon,0	//MO_TRIPLEATTACK#Combo Triplo#
264,18,6,2,0,0x1,0,1,1,no,0,0,0,none,0	//MO_BODYRELOCATION#Passo Etéreo#
265,0,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//MO_DODGE#Cair das Pétalas#
266,2,6,1,0,0x40,0,5,1,no,0,0,0,weapon,0	//MO_INVESTIGATE#Impacto Psíquico#
267,9,8,1,-1,0,0,5,1:2:3:4:5,no,0,0,0,weapon,0	//MO_FINGEROFFENSIVE#Disparo de Esferas Espirituais#
268,0,6,4,0,0x1,0,5,1,no,0,0,0,weapon,0	//MO_STEELBODY#Corpo Fechado#
269,0,6,4,0,0x1,0,5,1,no,0,0,0,weapon,0	//MO_BLADESTOP#Dilema#
270,0,6,4,0,0x1,0,5,0,no,0,0,0,weapon,0	//MO_EXPLOSIONSPIRITS#Fúria Interior#
271,-2,6,4,0,0x60,0,5,1,yes,0,0x200,0,weapon,0	//MO_EXTREMITYFIST#Punho Supremo de Asura#
272,-2,8,4,-1,0,0,5,-4,no,0,0x200,0,weapon,0	//MO_CHAINCOMBO#Combo Quádruplo#
273,-2,6,4,-1,0x2,2,5,1,no,0,0x200,0,weapon,0	//MO_COMBOFINISH#O Último Dragão#
274,0,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//SA_ADVANCEDBOOK#Estudo de Livros#
275,0,6,4,0,0x1,0,5,1,no,0,0,0,magic,0	//SA_CASTCANCEL#Cancelar magia#
276,0,6,4,0,0x1,0,5,1,yes,0,0,0,magic,0	//SA_MAGICROD#Espelho Mágico#
277,9,6,1,0,0x1,0,5,1,yes,0,0,0,magic,0	//SA_SPELLBREAKER#Desconcentrar#
278,0,0,0,0,0,0,10,0,no,0,0,0,magic,0	//SA_FREECAST#Conjuração Livre#
279,0,6,4,0,0x1,0,10,1,yes,0,0,0,magic,0	//SA_AUTOSPELL#Desejo Arcano#
280,9,6,16,3,0x1,0,5,1,yes,0,0xC00,0,magic,0	//SA_FLAMELAUNCHER#Encantar com Chama#
281,9,6,16,1,0x1,0,5,1,yes,0,0xC00,0,magic,0	//SA_FROSTWEAPON#Encantar com Geada#
282,9,6,16,4,0x1,0,5,1,yes,0,0xC00,0,magic,0	//SA_LIGHTNINGLOADER#Encantar com Ventania#
283,9,6,16,2,0x1,0,5,1,yes,0,0xC00,0,magic,0	//SA_SEISMICWEAPON#Encantar com Terremoto#
284,0,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//SA_DRAGONOLOGY#Dragonologia#
285,2,6,2,3,0x1,0,5,1,yes,0,0,0,magic,0	//SA_VOLCANO#Vulcão#
286,2,6,2,1,0x1,0,5,1,yes,0,0,0,magic,0	//SA_DELUGE#Dilúvio#
287,2,6,2,4,0x1,0,5,1,yes,0,0,0,magic,0	//SA_VIOLENTGALE#Furacão#
288,3,6,2,0,0x1,0,5,1,yes,0,0,0,magic,0	//SA_LANDPROTECTOR#Proteger Terreno#
289,9,6,1,0,0x1,0,5,1,yes,0,0x1E00,0,magic,0	//SA_DISPELL#Desencantar#
290,0,6,4,0,0x1,0,10,1,yes,0,0,0,magic,0	//SA_ABRACADABRA#Abracadabra#
291,9,6,1,0,0x1,0,1,1,yes,0,0x2,0,magic,0	//SA_MONOCELL#Mono Cell#
292,9,6,1,0,0x1,0,1,1,yes,0,0x2,0,magic,0	//SA_CLASSCHANGE#Transformação#
293,0,6,4,0,0x1,0,1,1,yes,0,0x2,0,magic,0	//SA_SUMMONMONSTER#Invocar Monstro#
294,9,6,4,0,0x1,0,1,1,yes,0,0x2,0,magic,0	//SA_REVERSEORCISH#Transformação Orc#
295,9,6,1,0,0x1,0,1,1,yes,0,0x2,0,magic,0	//SA_DEATH#Extermínio#
296,9,6,1,0,0x1,0,1,1,yes,0,0x2,0,magic,0	//SA_FORTUNE#Toque de Midas#
297,9,6,1,0,0x1,0,1,1,yes,0,0x2,0,magic,0	//SA_TAMINGMONSTER#Hipnose#
298,9,6,4,0,0x1,0,1,1,yes,0,0x2,0,magic,0	//SA_QUESTION#Interrogatório#
299,9,6,4,0,0x1,0,1,1,yes,0,0x2,0,magic,0	//SA_GRAVITY#Gravity#
300,9,6,4,0,0x1,0,1,1,yes,0,0x2,0,magic,0	//SA_LEVELUP#Level Up!#
301,9,6,4,0,0,0,1,1,yes,0,0x2,0,magic,0	//SA_INSTANTDEATH#Instant Extermínio#
302,9,6,4,0,0x1,0,1,1,yes,0,0x2,0,magic,0	//SA_FULLRECOVERY#Recuperação#
303,9,6,4,0,0,0,1,1,yes,0,0x2,0,magic,0	//SA_COMA#Coma#
304,0,6,4,0,0x1,0,1,1,no,0,0,0,none,0	//BD_ADAPTATION#Encerramento#
305,0,6,4,0,0x1,0,1,1,no,0,0,0,none,0	//BD_ENCORE#Bis#
306,0,6,4,0,0x1,0,1,1,no,0,0x40,0,misc,0	//BD_LULLABY#Cantiga de Ninar#
307,0,6,4,0,0x1,0,5,1,no,0,0x40,0,misc,0	//BD_RICHMANKIM#Banquete de Njord#
308,0,6,4,0,0x1,0,1,1,no,0,0x40,0,misc,0	//BD_ETERNALCHAOS#Ritmo Caótico#
309,0,6,4,0,0x1,0,5,1,no,0,0x40,0,misc,0	//BD_DRUMBATTLEFIELD#Rufar dos Tambores#
310,0,6,4,0,0x1,0,5,1,no,0,0x40,0,misc,0	//BD_RINGNIBELUNGEN#Harmonic #
311,0,6,4,0,0x1,0,1,1,no,0,0x40,0,misc,0	//BD_ROKISWEIL#Lamento de Loki#
312,0,6,4,0,0x1,0,1,1,no,0,0x40,0,misc,0	//BD_INTOABYSS#Canção Preciosa#
313,0,6,4,0,0x1,0,5,1,no,0,0x40,0,misc,0	//BD_SIEGFRIED#Ode a Siegfried#
//314,0,0,0,0,0,0,1,1,no,0,0x40,0,misc,0	//BD_RAGNAROK#Ragnarok#
315,0,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//BA_MUSICALLESSON#Lições de Música#
316,9,6,1,-1,0,0,5,1,no,0,0,0,weapon,0	//BA_MUSICALSTRIKE#Flecha Melódica#
317,0,8,4,0,0x41,0,5,1,no,0,0x20,0,misc,0	//BA_DISSONANCE#Dissonância#
318,0,6,4,0,0x3,-1,5,1,no,0,0,0,misc,0	//BA_FROSTJOKE#Piada Infame#
319,0,6,4,0,0x1,0,10,1,no,0,0x20,0,misc,0	//BA_WHISTLE#Assovio#
320,0,6,4,0,0x1,0,10,1,no,0,0x20,0,misc,0	//BA_ASSASSINCROSS#Crepúsculo Sangrento#
321,0,6,4,0,0x1,0,10,1,no,0,0x20,0,misc,0	//BA_POEMBRAGI#Poema de Bragi#
322,0,6,4,0,0x1,0,10,1,no,0,0x20,0,misc,0	//BA_APPLEIDUN#Maçãs de Idun#
323,0,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//DC_DANCINGLESSON#Lições de Dança#
324,9,6,1,-1,0,0,5,1,no,0,0,0,weapon,0	//DC_THROWARROW#Estilingue#
325,0,8,4,0,0x1,0,5,1,no,0,0x20,0,misc,0	//DC_UGLYDANCE#Dança do Ventre#
326,0,6,4,0,0x3,-1,5,1,no,0,0,0,misc,0	//DC_SCREAM#Escândalo#
327,0,6,4,0,0x1,0,10,1,no,0,0x20,0,misc,0	//DC_HUMMING#Sibilo#
328,0,6,4,0,0x1,0,10,1,no,0,0x20,0,misc,0	//DC_DONTFORGETME#Não Me Abandones#
329,0,6,4,0,0x1,0,10,1,no,0,0x20,0,misc,0	//DC_FORTUNEKISS#Beijo da Sorte#
330,0,6,4,0,0x1,0,10,1,no,0,0x20,0,misc,0	//DC_SERVICEFORYOU#Dança Cigana#
331,0,6,4,0,0x1,0,10,0,no,0,0x2,0,none,0	//NPC_RANDOMMOVE
332,0,6,4,0,0x1,0,10,0,no,0,0x2,0,none,0	//NPC_SPEEDUP
333,0,6,4,0,0x1,0,1,0,no,0,0x2,0,none,0	//NPC_REVENGE
334,9,6,4,0,0x1,0,1,1,yes,0,0x4,0,none,0	//WE_MALE#Amor Verdadeiro#
335,9,6,4,0,0x1,0,1,1,yes,0,0x4,0,none,0	//WE_FEMALE#Amor Eterno#
336,9,6,4,0,0x1,3,1,1,yes,0,0x4,1,none,0	//WE_CALLPARTNER#Saudades de Você#
337,9,6,1,-1,0,0,1,1,no,0,0x2,0,weapon,0	//ITM_TOMAHAWK#Arremessar Tomahawk...#
338,-1,8,1,7,0,0,0,-2,no,0,0x2,0,weapon,0	//NPC_DARKCROSS##
339,5,6,4,7,0x48,0,10,1,no,33,0x102,0,magic,0		//NPC_GRANDDARKNESS##
340,9,8,1,7,0,0,10,1:1:2:2:3:3:4:4:5:5,yes,0,0x2,0,magic,0	//NPC_DARKSTRIKE#Espíritos Anciões of Darkness#
341,9,8,1,7,0,0,10,3:4:5:6:7:8:9:10:11:12,yes,0,0x2,0,magic,2:3:3:4:4:5:5:6:6:7	//NPC_DARKTHUNDER##
342,9,6,1,0,0x1,0,1,0,no,0,0x2,0,none,0	//NPC_STOP
343,9,6,1,-1,0,0,10,1,no,0,0x2,0,weapon,0	//NPC_BREAKWEAPON##
344,9,6,1,-1,0,0,10,1,no,0,0x2,0,weapon,0	//NPC_BREAKARMOR##
345,9,6,1,-1,0,0,10,1,no,0,0x2,0,weapon,0	//NPC_BREAKHELM##
346,9,6,1,-1,0,0,10,1,no,0,0x2,0,weapon,0	//NPC_BREAKSHIELD##
347,-1,6,1,9,0,0,10,1,no,0,0x2,0,weapon,0	//NPC_UNDEADATTACK
348,9,0,1,9,0x1,0,10,1,no,0,0x2,0,magic,0	//NPC_CHANGEUNDEAD
349,0,6,4,0,0x1,0,10,0,no,0,0x2,0,weapon,0	//NPC_POWERUP
350,0,6,4,0,0x1,0,10,0,no,0,0x2,0,none,0	//NPC_AGIUP
351,0,0,0,0,0x1,0,0,0,no,0,0x2,0,none,0	//NPC_SIEGEMODE
352,2,0,4,0,0x1,0,1,0,no,0,0x2,0,none,0	//NPC_CALLSLAVE
353,0,0,0,0,0x1,0,0,0,no,0,0x2,0,none,0	//NPC_INVISIBLE
354,2,6,4,0,0x1,0,20,0,no,0,0x2,0,misc,0	//NPC_RUN
355,0,6,4,0,0x1,0,5,1,no,0,0,0,weapon,0	//LK_AURABLADE#Lâmina de Aura#
356,0,6,4,0,0x1,0,10,1,no,0,0,0,weapon,0	//LK_PARRYING#Aparar Golpe#
357,0,6,4,0,0x1,0,5,1,no,0,0,0,weapon,0	//LK_CONCENTRATION#Dedicação#
358,0,6,4,0,0x1,0,1,1,no,0,0,0,weapon,0	//LK_TENSIONRELAX#Relaxar#
359,0,6,4,0,0x1,0,1,1,no,0,0,0,weapon,0	//LK_BERSERK#Frenesi#
//360,0,6,4,0,0x1,0,1,1,no,0,0,0,weapon,0	//LK_FURY#Fúria Interior#
361,9,6,16,0,0x3,1,5,1,yes,0,0,0,magic,0	//HP_ASSUMPTIO#Assumptio#
362,4,6,4,0,0x1,0,5,1,yes,0,0,0,magic,2	//HP_BASILICA#Basílica#
363,0,0,0,0,0,0,10,0,no,0,0,0,magic,0	//HP_MEDITATIO#Meditação#
364,0,0,0,0,0,0,10,1,no,0,0,0,magic,0	//HW_SOULDRAIN#Dreno de Alma#
365,9,8,1,-1,0,0,1,1,yes,0,0,0,weapon,0	//HW_MAGICCRASHER#Esmagamento Mágico#
366,0,6,4,0,0x1,0,10,1,no,0,0,0,magic,0	//HW_MAGICPOWER#Mystical Encerramentolification#
367,9,8,1,0,0xD0,0,5,1,no,0,0,0,misc,0	//PA_PRESSURE#Gloria Domini#
368,0,6,4,0,0x61,0,5,1,yes,0,0,0,weapon,0	//PA_SACRIFICE#Sacrifício do Mártir#
369,0,6,4,0,0x41,0,10,1,yes,0,0,0,misc,0	//PA_GOSPEL#Canto de Batalha#
370,-2,6,1,-1,0,0,5,1,yes,0,0,0,weapon,3	//CH_PALMSTRIKE#Golpe da Palma em Fúria#
371,-2,8,4,-1,0,0,5,1,no,0,0x200,0,weapon,0	//CH_TIGERFIST#Punho do Tigre#
372,-2,8,4,-1,0,0,10,-1:-1:-2:-2:-3:-3:-4:-4:-5:-5,no,0,0x200,0,weapon,0	//CH_CHAINCRUSH#Combo Esmagador#
373,0,6,4,0,0x1,0,5,1,no,0,0,0,magic,0	//PF_HPCONVERSION#Curarth Conversion#
374,9,6,16,0,0x1,0,1,1,yes,0,0x1E00,0,none,0	//PF_SOULCHANGE#Exalar Alma#
375,9,6,1,0,0x98,0,5,1,yes,0,0,0,magic,0	//PF_SOULBURN#Sifão de Alma#
376,0,0,0,0,0x1,0,5,1,no,0,0,0,weapon,0	//ASC_KATAR#Advanced Perícia com Katar#
//377,0,0,4,0,0x1,0,10,1,no,0,0,0,misc,0	//ASC_HALLUCINATION# Walk#
378,0,6,4,5,0x1,0,5,1,no,0,0,0,weapon,0	//ASC_EDP#Encantar com Veneno Mortal#
379,9,6,1,-1,0x8,0,10,1,yes,0,0,0,weapon,0	//ASC_BREAKER#Destruidor de Almas#
380,0,6,4,0,0x1,0,10,1,no,0,0,0,weapon,0	//SN_SIGHT#Visão Real#
381,5,8,1,0,0x40,0,5,1,yes,0,0,0,misc,0	//SN_FALCONASSAULT#Assalto do Falcão#
382,4,8,1,-1,0,2,5,1,yes,0,0,0,weapon,0	//SN_SHARPSHOOTING#Tiro Preciso#
383,0,6,4,0,0x3,-1,10,1,yes,0,0,0,weapon,0	//SN_WINDWALK#Caminho do Vento#
384,0,0,4,0,0x1,0,10,1,yes,0,0,0,weapon,0	//WS_MELTDOWN#Golpe Estilhaçante#
//385,0,0,4,0,0x1,0,1,1,yes,0,0,0,none,0	//WS_CREATECOIN#Create Coins#
//386,0,0,4,0,0x1,0,1,1,yes,0,0,0,none,0	//WS_CREATENUGGET#Create Nuggets#
387,0,6,4,0,0x1,0,1,1,no,0,0,0,weapon,0	//WS_CARTBOOST#Impulso no Carrinho#
//388,9,6,2,0,0x1,0,5,1,no,0,0,0,none,0	//WS_SYSTEMCREATE#Auto Attack System#
389,0,6,4,0,0x1,0,5,1,no,0,0,0,none,0	//ST_CHASEWALK#Furtoth#
390,0,0,4,0,0,0,5,1,yes,0,0,0,weapon,0	//ST_REJECTSWORD#Instinto de Defesa#
//391,0,0,4,0,1,0,1,1,yes,0,0,0,magic,0	//ST_STEALBACKPACK#Furto Backpack#
392,0,0,4,0,0x1,0,1,1,yes,0,0,0,none,0	//CR_ALCHEMY#Alquimia#
393,0,0,4,0,0x1,0,1,1,yes,0,0,0,none,0	//CR_SYNTHESISPOTION#Síntese de Poção#
394,9,8,1,-1,0,0,10,-9,yes,0,0,0,weapon,0	//CG_ARROWVULCAN#Vulcão de Flechas#
395,0,0,4,0,0x1,3,1,1,yes,0,0x40,0,misc,2	//CG_MOONLIT#Bênção Protetora#
396,-1,6,16,0,0x1,0,1,1,yes,0,0x600,0,none,0	//CG_MARIONETTE#Controle de Marionete#
397,5,8,1,-1,0x20,0,5,5,no,0,0,0,weapon,0	//LK_SPIRALPIERCE#Spiral Perfurar#
398,4,6,1,-1,0,0,5,1,no,0,0,0,weapon,0	//LK_HEADCRUSH#Golpe Traumático#
399,4,6,1,-1,0,0,10,1,no,0,0,0,weapon,0	//LK_JOINTBEAT#Ataque Vital#
400,9,8,1,8,0x6,1,5,1:2:3:4:5,yes,0,0,0,magic,0	//HW_NAPALMVULCAN#Vulcão Napalm#
401,0,6,4,0,0x1,0,1,1,yes,0,0,0,none,0	//CH_SOULCOLLECT#Zen#
402,9,6,1,0,0x1,0,5,1,no,0,0,0,none,0	//PF_MINDBREAKER#Enlouquecedor#
403,0,0,4,0,0x1,0,1,1,yes,0,0,0,magic,0	//PF_MEMORIZE#Presciência#
404,9,6,2,2,0x1,0,5,1,yes,0,0x100,2,magic,0	//PF_FOGWALL#Bruma Ofuscante#
405,7,6,1,0,0x1,0,1,1,no,0,0,3,magic,0	//PF_SPIDERWEB#Prisão da Teia#
406,0,6,4,-1,0xA,2,10,1,no,33,0,0,weapon,0	//ASC_METEORASSAULT#Impacto Meteoro#
407,0,6,4,0,0x1,0,1,0,no,0,0,0,none,0	//ASC_CDP#Criar Veneno Mortal#
408,9,6,4,0,0x1,0,1,1,yes,0,0x4,0,none,0	//WE_BABY#Mãe, Pai, amo vocês!#
409,9,6,4,0,0x1,3,1,1,yes,0,0x4,1,none,0	//WE_CALLPARENT#Mãe, Pai, cadê vocês?#
410,9,6,4,0,0x1,3,1,1,yes,0,0x4,1,none,0	//WE_CALLBABY#Call Mãe, Pai, amo vocês!#
411,0,6,4,0,0x1,0,10,1,yes,0,0,0,misc,4	//TK_RUN#Corrida#
412,0,6,4,0,0x1,0,1,1,no,0,0,0,weapon,0	//TK_READYSTORM#Prepare Furacão#
413,-2,8,4,-1,0x2,2,7,-3,no,0,0x200,0,weapon,0	//TK_STORMKICK#Furacão Kick#
414,0,6,4,0,0x1,0,1,1,no,0,0,0,weapon,0	//TK_READYDOWN#Postura da Patada Voadora#
415,-2,8,4,-1,0,0,7,-3,no,0,0x200,0,weapon,0	//TK_DOWNKICK#Patada Voadora#
416,0,6,4,0,0x1,0,1,1,no,0,0,0,weapon,0	//TK_READYTURN#Postura da Rasteira#
417,-2,8,4,-1,0x2,1,7,-3,no,0,0x200,0,weapon,2	//TK_TURNKICK#Rasteira#
418,0,6,4,0,0x1,0,1,1,no,0,0,0,weapon,0	//TK_READYCOUNTER#Postura do Contrachute#
419,-2,8,4,-1,0x40,0,7,-3,no,0,0x200,0,weapon,0	//TK_COUNTER#Contrachute#
420,0,6,4,0,0x1,0,1,1,no,0,0,0,weapon,0	//TK_DODGE#Cambalhota#
421,9,8,4,-1,0,0,7,-3,no,0,0x200,0,weapon,0	//TK_JUMPKICK#Chute Aéreo#
422,0,0,0,0,0,1,10,0,no,0,0,0,none,0	//TK_HPTIME#Vaporizar#
423,0,0,0,0,0,1,10,0,no,0,0,0,none,0	//TK_SPTIME#Retiro Rápido#
424,0,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//TK_POWER#Kihop#
425,0,6,4,2:4:1:3:8:7:6,0x1,0,7,1,no,0,0,0,weapon,0	//TK_SEVENWIND#Brisa Leve#
426,0,6,4,0,0x1,0,5,1,no,0,0,0,weapon,0	//TK_HIGHJUMP#Salto#
427,0,6,4,0,0x1,0,3,1,yes,0,0,0,magic,0	//SG_FEEL#Percepção Solar, Lunar e Estelar#
428,1,6,4,-1,0x42,1,3,1,yes,0,0,0,weapon,2	//SG_SUN_WARM#Calor Solar#
429,1,6,4,-1,0x42,1,3,1,yes,0,0,0,weapon,2	//SG_MOON_WARM#Calor Lunar#
430,1,6,4,-1,0x42,1,3,1,yes,0,0,0,weapon,2	//SG_STAR_WARM#Calor Estelar#
431,0,0,4,0,0x1,0,4,1,yes,0,0,0,magic,0	//SG_SUN_COMFORT#Proteção Solar#
432,0,0,4,0,0x1,0,4,1,yes,0,0,0,magic,0	//SG_MOON_COMFORT#Proteção Lunar#
433,0,0,4,0,0x1,0,4,1,yes,0,0,0,magic,0	//SG_STAR_COMFORT#Proteção Estelar#
434,10,6,1,0,0x1,0,3,1,yes,0,0,0,magic,0	//SG_HATE#Oposição Solar, Lunar e Estelar#
435,0,0,0,0,0,0,3,0,no,0,0,0,none,0	//SG_SUN_ANGER#Fúria Solar#
436,0,0,0,0,0,0,3,0,no,0,0,0,none,0	//SG_MOON_ANGER#Fúria Lunar#
437,0,0,0,0,0,0,3,0,no,0,0,0,none,0	//SG_STAR_ANGER#Fúria Estelar#
438,0,0,0,0,0,0,5,0,no,0,0,0,none,0	//SG_SUN_BLESS#Benção of the Sun#
439,0,0,0,0,0,0,5,0,no,0,0,0,none,0	//SG_MOON_BLESS#Benção of the Moon#
440,0,0,0,0,0,0,5,0,no,0,0,0,none,0	//SG_STAR_BLESS#Benção of the Star#
441,0,0,0,0,0,0,10,0,no,0,0,0,none,0	//SG_DEVIL#Sombra Solar, Lunar e Estelar#
442,0,0,0,0,0,0,3,0,no,0,0,0,none,0	//SG_FRIEND#Auxílio Solar, Lunar e Estelar#
443,0,0,0,0,0,0,10,0,no,0,0,0,none,0	//SG_KNOWLEDGE#Transmissão Solar, Lunar e Estelar#
444,0,6,4,0,0x1,0,1,1,no,0,0,0,misc,0	//SG_FUSION#União Solar, Lunar e Estelar#
445,9,6,16,0,0x1,0,5,1,yes,0,0x200,0,magic,0	//SL_ALCHEMIST#Espírito do Alquimista#
446,9,6,16,0,0x1,0,1,1,yes,0,0xC08,0,none,0	//AM_BERSERKPITCHER#Arremessar Poção da Fúria Selvagem#
447,9,6,16,0,0x1,0,5,1,yes,0,0x200,0,magic,0	//SL_MONK#Espírito do Monge#
448,9,6,16,0,0x1,0,5,1,yes,0,0x200,0,magic,0	//SL_STAR#Espírito do Mestre Taekwon#
449,9,6,16,0,0x1,0,5,1,yes,0,0x200,0,magic,0	//SL_SAGE#Espírito do Sábio#
450,9,6,16,0,0x1,0,5,1,yes,0,0x200,0,magic,0	//SL_CRUSADER#Espírito do Templário#
451,9,6,16,0,0x1,0,5,1,yes,0,0x200,0,magic,0	//SL_SUPERNOVICE#Espírito do Superaprendiz#
452,9,6,16,0,0x1,0,5,1,yes,0,0x200,0,magic,0	//SL_KNIGHT#Espírito do Cavaleiro#
453,9,6,16,0,0x1,0,5,1,yes,0,0x200,0,magic,0	//SL_WIZARD#Espírito do Bruxo#
454,9,6,16,0,0x1,0,5,1,yes,0,0x200,0,magic,0	//SL_PRIEST#Espírito do Sacerdote#
455,9,6,16,0,0x1,0,5,1,yes,0,0x200,0,magic,0	//SL_BARDDANCER#Espírito do Artista#
456,9,6,16,0,0x1,0,5,1,yes,0,0x200,0,magic,0	//SL_ROGUE#Espírito do Arruaceiro#
